Description,,Summary Amt.,
4/30/2025,"Zelle payment to Brielle for Happy Birthday!!""; Conf# uygauoqld""",-50,86.52
5/1/2025,CHEVRON FOOD MART 04/30 PURCHASE GAINSVILLE GA,-25.75,60.77
5/1/2025,BP#8136079CLIPPER 04/30 PURCHASE GAINESVILLE GA,-10.86,49.91
5/1/2025,TRACTOR SUPPLY 05/01 PURCHASE GAINESVILLE GA,-3.5,46.41
5/2/2025,DAILYPAY DES:TRACTOR SU ID:17887747 INDN:TIMOTHY LUBBESS CO ID:XXXXX35714 PPD,274.52,320.93
5/2/2025,Transfer DAILY PAY,257.62,578.55
5/2/2025,CHICK-FIL-A #0540 04/30 PURCHASE FLOWERY BRANC GA,-25.2,553.35
5/2/2025,BP#7698079ANDYS B 05/01 PURCHASE GAINESVILLE GA,-11.76,541.59
5/2/2025,Zelle payment to Kids iPhone Conf# xu7owbeow,-250,291.59
5/2/2025,Zelle payment to Kids iPhone Conf# tg0y3up61,-250,41.59
5/2/2025,TRACTOR SUPPLY 05/02 PURCHASE GAINESVILLE GA,-2.18,39.41
5/5/2025,Transfer DAILY PAY,239.74,279.15
5/5/2025,Transfer DAILY PAY,96.51,375.66
5/5/2025,Transfer DAILY PAY,96.51,472.17
5/5/2025,RACETRAC2351 000 05/01 PURCHASE GAINESVILLE GA,-7.68,464.49
5/5/2025,QT 771 05/02 PURCHASE GAINESVILLE GA,-7.41,457.08
5/5/2025,BP#7698079ANDYS B 05/02 PURCHASE GAINESVILLE GA,-11.76,445.32
5/5/2025,Love's #0765 I 05/03 PURCHASE COMMERCE GA,-9.27,436.05
5/5/2025,CSC SERVICEWORK 05/03 PURCHASE COMMERCE GA,-2,434.05
5/5/2025,STINSON TIRE & AU 05/03 PURCHASE COMMERCE GA,-45.54,388.51
5/5/2025,TRACTOR SUPPLY 05/03 PURCHASE GAINESVILLE GA,-3.5,385.01
5/5/2025,TRACTOR SUPPLY 05/03 PURCHASE GAINESVILLE GA,-1.75,383.26
5/5/2025,TRACTOR SUPPLY 05/03 PURCHASE GAINESVILLE GA,-25.67,357.59
5/5/2025,BP#7698079ANDYS B 05/03 PURCHASE GAINESVILLE GA,-11.76,345.83
5/5/2025,BP#7698079ANDY 05/03 PURCHASE GAINESVILLE GA,-25,320.83
5/5/2025,KFC D241018 05/04 PURCHASE OAKWOOD GA,-15.5,305.33
5/5/2025,BP#7698079ANDYS B 05/04 PURCHASE GAINESVILLE GA,-6.2,299.13
5/5/2025,TRACTOR SUPPLY 05/04 PURCHASE GAINESVILLE GA,-1.75,297.38
5/5/2025,BP#7698079ANDYS B 05/04 PURCHASE GAINESVILLE GA,-11.76,285.62
5/5/2025,TRACTOR SUPPLY 05/05 PURCHASE GAINESVILLE GA,-1.75,283.87
5/5/2025,Zelle payment to Kids iPhone Conf# wn840hvlf,-200,83.87
5/6/2025,Transfer DAILY PAY,125.47,209.34
5/6/2025,Transfer DAILY PAY,100.49,309.83
5/6/2025,BP#7698079ANDYS B 05/05 PURCHASE GAINESVILLE GA,-11.76,298.07
5/6/2025,Peacock X9214 Pre 05/06 PURCHASE XXXXX40138 NY,-13.99,284.08
5/6/2025,Zelle payment to Kids iPhone Conf# xxfrhuqm3,-100,184.08
5/6/2025,Zelle payment to Kids iPhone Conf# ysy3487qy,-100,84.08
5/6/2025,TRACTOR SUPPLY 05/06 PURCHASE GAINESVILLE GA,-1.75,82.33
5/6/2025,DOLLAR GENERAL 05/06 PURCHASE GILLSVILLE GA,-24,58.33
5/7/2025,Transfer DAILY PAY,132.01,190.34
5/7/2025,BP#7698079ANDYS B 05/06 PURCHASE GAINESVILLE GA,-11.76,178.58
5/7/2025,Zelle payment to Kids iPhone Conf# y02d5n0y6,-100,78.58
5/7/2025,TRACTOR SUPPLY 05/07 PURCHASE GAINESVILLE GA,-2.89,75.69
5/7/2025,TRACTOR SUPPLY 05/07 PURCHASE GAINESVILLE GA,-1.75,73.94
5/7/2025,TRACTOR SUPPLY 05/07 PURCHASE GAINESVILLE GA,-1.75,72.19
5/8/2025,Transfer DAILY PAY,112.29,184.48
5/8/2025,ORACL*WAFFLE HOUS 05/07 PURCHASE Gainesville GA,-14,170.48
5/8/2025,BP#7698079ANDYS B 05/07 PURCHASE GAINESVILLE GA,-11.76,158.72
5/8/2025,Zelle payment to Kids iPhone Conf# shrxg1v4u,-100,58.72
5/8/2025,TRACTOR SUPPLY 05/08 PURCHASE GAINESVILLE GA,-1.75,56.97
5/8/2025,TRACTOR SUPPLY 05/08 PURCHASE GAINESVILLE GA,-1.75,55.22
5/9/2025,Transfer DAILY PAY,127.47,182.69
5/9/2025,Transfer DAILY PAY,71.51,254.2
5/9/2025,BP#7698079ANDYS B 05/08 PURCHASE GAINESVILLE GA,-11.76,242.44
5/9/2025,TRACTOR SUPPLY 05/09 PURCHASE GAINESVILLE GA,-31.5,210.94
5/9/2025,PC8008 KANKU'S 05/09 PURCHASE OAKWOOD GA,-20.5,190.44
5/12/2025,Transfer DAILY PAY,100.51,290.95
5/12/2025,Transfer DAILY PAY,91.51,382.46
5/12/2025,CHEVRON FOOD MART 05/08 PURCHASE GAINESVILLE GA,-9.92,372.54
5/12/2025,BURGER KING #5920 05/08 PURCHASE OAKWOOD GA,-18.6,353.94
5/12/2025,DOUBLE D BURGER 05/09 PURCHASE GAINESVILLE GA,-14.81,339.13
5/12/2025,BURGER KING #5920 05/09 PURCHASE OAKWOOD GA,-13.79,325.34
5/12/2025,SQ *ROAD ATLANTA 05/09 PURCHASE Atlanta GA,-23.3,302.04
5/12/2025,SQ *ROAD ATLANTA 05/09 PURCHASE Atlanta GA,-11.64,290.4
5/12/2025,ZAXBY'S #68401 05/09 PURCHASE GAINESVILLE GA,-28.44,261.96
5/12/2025,QT 847 05/10 PURCHASE GAINESVILLE GA,-6.8,255.16
5/12/2025,HUDDLE HOUSE 926 05/10 PURCHASE GAINESVILLE GA,-45.39,209.77
5/12/2025,BP#8136079CLIPPER 05/11 PURCHASE GAINESVILLE GA,-10.9,198.87
5/12/2025,TRACTOR SUPPLY 05/11 PURCHASE GAINESVILLE GA,-1.75,197.12
5/12/2025,TRACTOR SUPPLY 05/11 PURCHASE GAINESVILLE GA,-1.75,195.37
5/12/2025,BP#7698079ANDYS B 05/11 PURCHASE GAINESVILLE GA,-11.76,183.61
5/12/2025,TRACTOR SUPPLY 05/12 PURCHASE GAINESVILLE GA,-4.64,178.97
5/12/2025,BP#7698079ANDY 05/12 PURCHASE GAINESVILLE GA,-20,158.97
5/12/2025,NNT LOS ARCOS 05/12 PURCHASE LULA GA,-41.09,117.88
5/13/2025,Transfer DAILY PAY,171.51,289.39
5/13/2025,BP#8136079CLIPPER 05/12 PURCHASE GAINESVILLE GA,-3.98,285.41
5/13/2025,BP#7698079ANDYS B 05/12 PURCHASE GAINESVILLE GA,-11.76,273.65
5/13/2025,EAST HALL FOOD MA 05/12 PURCHASE GAINESVILLE GA,-18.18,255.47
5/13/2025,BKOFAMERICA ATM 05/13 #XXXXX4269 WITHDRWL WINDER MAIN WINDERA GA,-100,155.47
5/13/2025,Zelle payment to Brielle Conf# zs4n6bjzh,-25,130.47
5/14/2025,Transfer DAILY PAY,91.51,221.98
5/14/2025,TST*FRIENDS WINDE 05/13 PURCHASE Winder GA,-71.31,150.67
5/14/2025,AMAZON MKTPL*NI2E 05/13 PURCHASE XXXXX61072 WA,-31.99,118.68
5/14/2025,TRACTOR SUPPLY 05/14 PURCHASE GAINESVILLE GA,-1.75,116.93
5/14/2025,TRACTOR SUPPLY 05/14 PURCHASE GAINESVILLE GA,-1.75,115.18
5/15/2025,Transfer DAILY PAY,101.51,216.69
5/15/2025,SHORT STOP (CITGO 05/13 PURCHASE WINDER GA,-5.61,211.08
5/15/2025,SHORT STOP (CITGO 05/13 PURCHASE WINDER GA,-5.4,205.68
5/15/2025,BP#7698079ANDYS B 05/14 PURCHASE GAINESVILLE GA,-11.76,193.92
5/15/2025,THE HOME DEPOT 05/15 PURCHASE DACULA GA,-20.11,173.81
5/16/2025,DAILYPAY DES:TRACTOR SU ID:17887747 INDN:TIMOTHY LUBBESS CO ID:XXXXX35714 PPD,750.15,923.96
5/16/2025,Transfer DAILY PAY,131.34,"1,055.30"
5/16/2025,QT 771 05/14 PURCHASE GAINESVILLE GA,-12.54,"1,042.76"
5/16/2025,BP#8136079CLIPPER 05/15 PURCHASE GAINESVILLE GA,-8.8,"1,033.96"
5/16/2025,MEDLINK PHARMACY 05/15 PURCHASE COMMERCE GA,-40,993.96
5/16/2025,SUNOCO XXXXX14300 05/15 PURCHASE GILLSVILLE GA,-26,967.96
5/16/2025,Zelle payment to Carson Conf# ysq2zg9bo,-750,217.96
5/16/2025,TRACTOR SUPPLY 05/16 PURCHASE GAINESVILLE GA,-1.75,216.21
5/16/2025,TRACTOR SUPPLY 05/16 PURCHASE GAINESVILLE GA,-1.75,214.46
5/16/2025,TRACTOR SUPPLY 05/16 PURCHASE GAINESVILLE GA,-1.75,212.71
5/16/2025,KROGER #6 1931 05/16 PURCHASE GAINESVILLE GA,-140.29,72.42
5/19/2025,Zelle payment from CARSON LUBBESS Conf# 0JEAMUIQU,250,322.42
5/19/2025,Transfer DAILY PAY,206.41,528.83
5/19/2025,Transfer DAILY PAY,78.79,607.62
5/19/2025,APPLEBEES 9839 - 05/15 PURCHASE COMMERCE GA,-22.9,584.72
5/19/2025,ORACL*WAFFLE HOUS 05/16 PURCHASE Gainesville GA,-23.25,561.47
5/19/2025,BP#7698079ANDYS B 05/16 PURCHASE GAINESVILLE GA,-6.2,555.27
5/19/2025,ACEABLE* 24/7 ROA 05/16 PURCHASE XXXXX23504 TX,-5,550.27
5/19/2025,BP#8136079CLIPPER 05/16 PURCHASE GAINESVILLE GA,-5.75,544.52
5/19/2025,TRACTOR SUPPLY 05/17 PURCHASE GAINESVILLE GA,-1.75,542.77
5/19/2025,TRACTOR SUPPLY 05/17 PURCHASE GAINESVILLE GA,-1.75,541.02
5/19/2025,BP#7698079ANDYS B 05/17 PURCHASE GAINESVILLE GA,-11.76,529.26
5/19/2025,ZAXBY'S #18801 05/17 PURCHASE OAKWOOD GA,-25.05,504.21
5/19/2025,VZWRLSS*BILL PAY 05/18 PURCHASE XXXXX20204 CA,-213.98,290.23
5/19/2025,TRACTOR SUPPLY #1 05/18 PURCHASE GAINESVILLE GA,-193.44,96.79
5/19/2025,ALDI 76037 05/18 PURCHASE GAINESVILLE GA,-5.02,91.77
5/19/2025,BP#7698079ANDYS B 05/18 PURCHASE GAINESVILLE GA,-6.61,85.16
5/19/2025,TRACTOR SUPPLY 05/18 PURCHASE GAINESVILLE GA,-41.02,44.14
5/19/2025,TRACTOR SUPPLY 05/19 PURCHASE GAINESVILLE GA,-1.75,42.39
5/19/2025,TRACTOR SUPPLY 05/19 PURCHASE GAINESVILLE GA,-1.75,40.64
5/19/2025,DOLLAR GENERAL 05/19 PURCHASE GILLSVILLE GA,-7.83,32.81
5/20/2025,Transfer DAILY PAY,110.11,142.92
5/20/2025,Transfer DAILY PAY,91.45,234.37
5/20/2025,BP#8136079CLIPPER 05/19 PURCHASE GAINESVILLE GA,-3.98,230.39
5/20/2025,BP#7698079ANDYS B 05/19 PURCHASE GAINESVILLE GA,-17.95,212.44
5/20/2025,TRACTOR SUPPLY 05/20 PURCHASE GAINESVILLE GA,-1.75,210.69
5/21/2025,Wellington Capita 05/20 PURCHASE XXXXX92200 NY,-111.66,99.03
5/21/2025,BP#7698079ANDYS B 05/20 PURCHASE GAINESVILLE GA,-11.76,87.27
5/21/2025,TRACTOR SUPPLY 05/21 PURCHASE GAINESVILLE GA,-2.05,85.22
5/21/2025,TRACTOR SUPPLY 05/21 PURCHASE GAINESVILLE GA,-1.75,83.47
5/22/2025,Transfer DAILY PAY,121.51,204.98
5/22/2025,Transfer DAILY PAY,101.51,306.49
5/22/2025,ZAXBY'S #68401 05/20 PURCHASE GAINESVILLE GA,-23.63,282.86
5/22/2025,BP#7698079ANDYS B 05/21 PURCHASE GAINESVILLE GA,-11.76,271.1
5/22/2025,TRACTOR SUPPLY 05/22 PURCHASE GAINESVILLE GA,-4.64,266.46
5/22/2025,DOLLAR GENERAL 05/22 PURCHASE GILLSVILLE GA,-8.76,257.7
5/23/2025,CHEVRON 0053492 05/22 PURCHASE GAINESVILLE GA,-24.75,232.95
5/23/2025,KROGER #477 05/22 PURCHASE SUWANEE GA,-55.28,177.67
5/23/2025,BP#8136079CLIPPER 05/22 PURCHASE GAINESVILLE GA,-10.46,167.21
5/23/2025,EAST HALL FOOD MA 05/22 PURCHASE GAINESVILLE GA,-25,142.21
5/23/2025,TRACTOR SUPPLY 05/23 PURCHASE GAINESVILLE GA,-1.75,140.46
5/23/2025,TRACTOR SUPPLY 05/23 PURCHASE GAINESVILLE GA,-1.75,138.71
5/23/2025,TRACTOR SUPPLY 05/23 PURCHASE GAINESVILLE GA,-2.18,136.53
5/27/2025,Transfer DAILY PAY,171.13,307.66
5/27/2025,Transfer DAILY PAY,96.51,404.17
5/27/2025,Transfer DAILY PAY,96.51,500.68
5/27/2025,HOOTERS OF LAWREN 05/22 PURCHASE LAWRENCEVILLE GA,-51.56,449.12
5/27/2025,THE HOME DEPOT #0 05/22 PURCHASE LAWRENCEVILLE GA,-21.17,427.95
5/27/2025,QT 847 05/23 PURCHASE GAINESVILLE GA,-5.36,422.59
5/27/2025,BP#7698079ANDYS B 05/23 PURCHASE GAINESVILLE GA,-11.76,410.83
5/27/2025,TRACTOR SUPPLY 05/24 PURCHASE GAINESVILLE GA,-1.75,409.08
5/27/2025,TRACTOR SUPPLY 05/24 PURCHASE GAINESVILLE GA,-2.18,406.9
5/27/2025,TRACTOR SUPPLY 05/24 PURCHASE GAINESVILLE GA,-46.26,360.64
5/27/2025,BP#7698079ANDYS B 05/24 PURCHASE GAINESVILLE GA,-11.76,348.88
5/27/2025,EAST HALL FOOD MA 05/24 PURCHASE GAINESVILLE GA,-18.18,330.7
5/27/2025,DOLLAR GENERAL #1 05/24 PURCHASE GILLSVILLE GA,-19.31,311.39
5/27/2025,TRACTOR SUPPLY 05/25 PURCHASE GAINESVILLE GA,-46.21,265.18
5/27/2025,WM SUPERCENTER 05/25 PURCHASE OAKWOOD GA,-63.13,202.05
5/27/2025,WAL-MART #3627 05/25 PURCHASE OAKWOOD GA,-11.03,191.02
5/27/2025,DOLLAR GENERAL 05/25 PURCHASE GAINESVILLE GA,-24.46,166.56
5/27/2025,DOLLAR GENERAL 05/25 PURCHASE GILLSVILLE GA,-21.32,145.24
5/27/2025,TRACTOR SUPPLY 05/26 PURCHASE GAINESVILLE GA,-1.75,143.49
5/27/2025,TRACTOR SUPPLY 05/26 PURCHASE GAINESVILLE GA,-1.75,141.74
5/27/2025,BP#7698079ANDYS B 05/26 PURCHASE GAINESVILLE GA,-17.95,123.79
5/27/2025,TRACTOR SUPPLY 05/27 PURCHASE GAINESVILLE GA,-1.75,122.04
5/27/2025,TRACTOR SUPPLY 05/27 PURCHASE GAINESVILLE GA,-1.75,120.29
5/28/2025,QT 771 05/26 PURCHASE GAINESVILLE GA,-5.76,114.53
5/28/2025,BP#8136079CLIPPER 05/27 PURCHASE GAINESVILLE GA,-3.98,110.55
5/28/2025,BP#7698079ANDYS B 05/27 PURCHASE GAINESVILLE GA,-11.76,98.79
5/28/2025,BP#7698079ANDY 05/27 PURCHASE GAINESVILLE GA,-15,83.79
5/28/2025,TRACTOR SUPPLY 05/28 PURCHASE GAINESVILLE GA,-2.18,81.61
5/28/2025,TRACTOR SUPPLY 05/28 PURCHASE GAINESVILLE GA,-2.18,79.43
5/28/2025,TRACTOR SUPPLY 05/28 PURCHASE GAINESVILLE GA,-24.72,54.71
5/29/2025,Transfer DAILY PAY,96.51,151.22
5/29/2025,MCDONALD'S F5672 05/28 PURCHASE GAINSEVILLE GA,-13.13,138.09
5/29/2025,BP#7698079ANDYS B 05/28 PURCHASE GAINESVILLE GA,-17.93,120.16
5/29/2025,Prime Video *N62U 05/28 PURCHASE XXXXX23080 WA,-14.54,105.62
5/30/2025,DAILYPAY DES:TRACTOR SU ID:17887747 INDN:TIMOTHY LUBBESS CO ID:XXXXX35714 PPD,555.81,661.43
5/30/2025,Transfer DAILY PAY,516.22,"1,177.65"
5/30/2025,Transfer DAILY PAY,73.37,"1,251.02"
5/30/2025,TST*SENOR FIESTA 05/29 PURCHASE Gainesville GA,-35.96,"1,215.06"
5/30/2025,Zelle payment to Kids iPhone Conf# ksw00x47j,-600,615.06
5/30/2025,Zelle payment to Kids iPhone Conf# k5g8oj1ce,-500,115.06
5/30/2025,TRACTOR SUPPLY 05/30 PURCHASE GAINESVILLE GA,-1.75,113.31
5/30/2025,TRACTOR SUPPLY 05/30 PURCHASE GAINESVILLE GA,-2.18,111.13
6/2/2025,Transfer DAILY PAY,98.51,209.64
6/2/2025,Transfer DAILY PAY,96.51,306.15
6/2/2025,QT 847 05/30 PURCHASE GAINESVILLE GA,-3.31,302.84
6/2/2025,BP#7698079ANDYS B 05/30 PURCHASE GAINESVILLE GA,-11.76,291.08
6/2/2025,AMERICAN DELI 108 05/30 PURCHASE OAKWOOD GA,-21.39,269.69
6/2/2025,BP#8136079CLIPPER 05/30 PURCHASE GAINESVILLE GA,-25.23,244.46
6/2/2025,CHEVRON FOOD MART 05/31 PURCHASE GAINESVILLE GA,-6.82,237.64
6/2/2025,TRACTOR SUPPLY 05/31 PURCHASE GAINESVILLE GA,-1.75,235.89
6/2/2025,OAKWOOD PACKAGE S 05/31 PURCHASE FLOWERY BRANC GA,-13.06,222.83
6/2/2025,ORACL*WAFFLE HOUS 06/01 PURCHASE Gainesville GA,-19.5,203.33
6/2/2025,TRACTOR SUPPLY 06/01 PURCHASE GAINESVILLE GA,-1.75,201.58
6/2/2025,TRACTOR SUPPLY 06/01 PURCHASE GAINESVILLE GA,-1.75,199.83
6/2/2025,TRACTOR SUPPLY 06/01 PURCHASE GAINESVILLE GA,-2.18,197.65
6/2/2025,TRACTOR SUPPLY 06/01 PURCHASE GAINESVILLE GA,-32.68,164.97
6/2/2025,BP#7698079ANDYS B 06/01 PURCHASE GAINESVILLE GA,-11.76,153.21
6/2/2025,TRACTOR SUPPLY 06/02 PURCHASE GAINESVILLE GA,-7.81,145.4
6/2/2025,TRACTOR SUPPLY 06/02 PURCHASE GAINESVILLE GA,-4.64,140.76
6/3/2025,BURGER KING #5920 06/01 PURCHASE OAKWOOD GA,-27.58,113.18
6/3/2025,BP#8136079CLIPPER 06/02 PURCHASE GAINESVILLE GA,-3.98,109.2
6/3/2025,BP#7698079ANDYS B 06/02 PURCHASE GAINESVILLE GA,-11.76,97.44
6/3/2025,TRACTOR SUPPLY 06/03 PURCHASE GAINESVILLE GA,-1.75,95.69
6/4/2025,Transfer DAILY PAY,201.51,297.2
6/4/2025,Transfer DAILY PAY,140.51,437.71
6/4/2025,VENMO*LUBBESS 06/04 PMNT RCVD San Jose CA,98.25,535.96
6/4/2025,Transfer DAILY PAY,96.84,632.8
6/4/2025,AMAZON MKTPL*NH0M 06/03 PURCHASE XXXXX61072 WA,-21.16,611.64
6/4/2025,BP#7698079ANDYS B 06/03 PURCHASE GAINESVILLE GA,-11.76,599.88
6/4/2025,NNT EXPRESS OI 06/04 PURCHASE GAINSVILLE GA,-57.22,542.66
6/4/2025,XXXXXXXXXX7964 06/04 #XXXXX6976 WITHDRWL Del Rio Mexican G Dacula GA,-102.25,440.41
6/4/2025,Zelle payment to Brielle Conf# sjj7f1t6v,-50,390.41
6/4/2025,Zelle payment to Brielle Conf# w2yc01sp9,-20,370.41
6/4/2025,XXXXXXXXXX7964 06/04 #XXXXX6976 WITHDRWL Del Rio Mexican G Dacula GA FEE,-2.5,367.91
6/5/2025,CHEVRON FOOD MART 06/03 PURCHASE GAINESVILLE GA,-11.75,356.16
6/5/2025,ZAXBY'S #68401 06/03 PURCHASE GAINESVILLE GA,-25.84,330.32
6/5/2025,KROGER #682 06/04 PURCHASE GAINESVILLE GA,-73.25,257.07
6/5/2025,AMAZON PRIME*N67L 06/04 PURCHASE XXXXX04331 WA,-16.04,241.03
6/5/2025,TRACTOR SUPPLY 06/05 PURCHASE GAINESVILLE GA,-1.75,239.28
6/6/2025,Del Rio Mexican G 06/04 PURCHASE Dacula GA,-55.09,184.19
6/6/2025,TACO MAC 40 GAINS 06/05 PURCHASE GAINESVILLE GA,-45.92,138.27
6/6/2025,BP#8136079CLIPPER 06/05 PURCHASE GAINESVILLE GA,-19.74,118.53
6/6/2025,Peacock DDEE3 Pre 06/06 PURCHASE XXXXX40138 NY,-13.99,104.54
6/6/2025,TRACTOR SUPPLY 06/06 PURCHASE GAINESVILLE GA,-1.75,102.79
6/6/2025,TRACTOR SUPPLY 06/06 PURCHASE GAINESVILLE GA,-5.23,97.56
6/6/2025,BP#7698079ANDY 06/06 PURCHASE GAINESVILLE GA,-25,72.56
6/6/2025,ALDI 76037 06/06 PURCHASE GAINESVILLE GA,-10.83,61.73
6/9/2025,Transfer DAILY PAY,296.51,358.24
6/9/2025,Transfer DAILY PAY,101.51,459.75
6/9/2025,QT 847 06/06 PURCHASE GAINESVILLE GA,-8.45,451.3
6/9/2025,BP#7698079ANDYS B 06/06 PURCHASE GAINESVILLE GA,-11.76,439.54
6/9/2025,MCDONALD'S F56 06/07 PURCHASE GAINSEVILLE GA,-18.58,420.96
6/9/2025,TRACTOR SUPPLY 06/07 PURCHASE GAINESVILLE GA,-1.75,419.21
6/9/2025,TRACTOR SUPPLY 06/07 PURCHASE GAINESVILLE GA,-2.18,417.03
6/9/2025,BP#7698079ANDYS B 06/07 PURCHASE GAINESVILLE GA,-11.76,405.27
6/9/2025,SUNOCO XXXXX14300 06/07 PURCHASE GILLSVILLE GA,-25.66,379.61
6/9/2025,BP#7698079ANDYS B 06/08 PURCHASE GAINESVILLE GA,-17.95,361.66
6/9/2025,HITECH FUEL 06/08 PURCHASE FLOWERY BRANC GA,-3.33,358.33
6/9/2025,TRACTOR SUPPLY 06/09 PURCHASE GAINESVILLE GA,-1.75,356.58
6/9/2025,Zelle payment to Kids iPhone Conf# yjkofay8x,-150,206.58
6/9/2025,Zelle payment to Kids iPhone Conf# vq0bpdzy9,-50,156.58
6/10/2025,Transfer DAILY PAY,131.51,288.09
6/10/2025,QT 771 06/08 PURCHASE GAINESVILLE GA,-7.41,280.68
6/10/2025,BURGER KING #5920 06/08 PURCHASE OAKWOOD GA,-27.58,253.1
6/10/2025,BP#8136079CLIPPER 06/09 PURCHASE GAINESVILLE GA,-2.34,250.76
6/10/2025,BP#7698079ANDYS B 06/09 PURCHASE GAINESVILLE GA,-11.76,239
6/10/2025,PUBLIX SUPER M 06/10 #XXXXX2650 WITHDRWL 1236 THOMPSON BRD GAINESVILLE GA,-83.25,155.75
6/10/2025,PUBLIX SUPER M 06/10 #XXXXX2650 WITHDRWL 1236 THOMPSON BRD GAINESVILLE GA FEE,-2.5,153.25
6/11/2025,Transfer DAILY PAY,101.51,254.76
6/11/2025,KROGER #682 06/10 PURCHASE GAINESVILLE GA,-63.96,190.8
6/11/2025,TACO MAC 40 GAINS 06/10 PURCHASE GAINESVILLE GA,-49.46,141.34
6/11/2025,BP#7698079ANDY 06/11 PURCHASE GAINESVILLE GA,-20,121.34
6/11/2025,TRACTOR SUPPLY 06/11 PURCHASE GAINESVILLE GA,-1.75,119.59
6/12/2025,Transfer DAILY PAY,86.51,206.1
6/12/2025,BP#8136079CLIPPER 06/11 PURCHASE GAINESVILLE GA,-2.34,203.76
6/12/2025,BP#7698079ANDYS B 06/11 PURCHASE GAINESVILLE GA,-17.95,185.81
6/12/2025,EAST HALL FOOD MA 06/11 PURCHASE GAINESVILLE GA,-21.16,164.65
6/13/2025,DAILYPAY DES:TRACTOR SU ID:17887747 INDN:TIMOTHY LUBBESS CO ID:XXXXX35714 PPD,"1,006.73","1,171.38"
6/13/2025,MEDLINK PHARMACY 06/12 PURCHASE COMMERCE GA,-35.69,"1,135.69"
6/13/2025,Zelle payment to Carson Conf# n24onwu27,"-1,000.00",135.69
6/13/2025,TRACTOR SUPPLY 06/13 PURCHASE GAINESVILLE GA,-1.75,133.94
6/13/2025,TRACTOR SUPPLY 06/13 PURCHASE GAINESVILLE GA,-1.75,132.19
6/13/2025,TRACTOR SUPPLY 06/13 PURCHASE GAINESVILLE GA,-1.75,130.44
6/13/2025,TRACTOR SUPPLY 06/13 PURCHASE GAINESVILLE GA,-6.96,123.48
6/16/2025,Transfer DAILY PAY,271.68,395.16
6/16/2025,Transfer DAILY PAY,96.51,491.67
6/16/2025,Transfer DAILY PAY,86.51,578.18
6/16/2025,MEDLINK BANKS 06/12 PURCHASE COMMERCE GA,-35,543.18
6/16/2025,RACETRAC284 000 06/12 PURCHASE COMMERCE GA,-6.48,536.7
6/16/2025,QT 847 06/13 PURCHASE GAINESVILLE GA,-10.35,526.35
6/16/2025,BP#7698079ANDYS B 06/13 PURCHASE GAINESVILLE GA,-11.76,514.59
6/16/2025,PIZZA HUT 004819 06/14 PURCHASE OAKWOOD GA,-98.79,415.8
6/16/2025,BP#7698079ANDYS B 06/14 PURCHASE GAINESVILLE GA,-6.2,409.6
6/16/2025,ZAXBY'S #68401 06/14 PURCHASE GAINESVILLE GA,-14.97,394.63
6/16/2025,TRACTOR SUPPLY 06/15 PURCHASE GAINESVILLE GA,-2.05,392.58
6/16/2025,TRACTOR SUPPLY 06/15 PURCHASE GAINESVILLE GA,-1.75,390.83
6/16/2025,TRACTOR SUPPLY 06/15 PURCHASE GAINESVILLE GA,-2.18,388.65
6/16/2025,BP#7698079ANDYS B 06/15 PURCHASE GAINESVILLE GA,-14.32,374.33
6/16/2025,Prime Video *NO6C 06/15 PURCHASE XXXXX23080 WA,-9.99,364.34
6/16/2025,TRACTOR SUPPLY 06/16 PURCHASE GAINESVILLE GA,-21.81,342.53
6/17/2025,Transfer DAILY PAY,131.73,474.26
6/17/2025,VZWRLSS*BILL PAY 06/15 PURCHASE XXXXX20204 CA,-258.8,215.46
6/17/2025,BP#7698079ANDYS B 06/16 PURCHASE GAINESVILLE GA,-17.95,197.51
6/17/2025,ACEABLE* 24/7 ROA 06/16 PURCHASE XXXXX23504 TX,-5,192.51
6/17/2025,SUNOCO XXXXX14300 06/16 PURCHASE GILLSVILLE GA,-26,166.51
6/17/2025,DOLLAR GENERAL 06/16 PURCHASE GILLSVILLE GA,-16.43,150.08
6/17/2025,DOLLAR GENERAL 06/17 PURCHASE GILLSVILLE GA,-23.66,126.42
6/18/2025,KROGER #682 06/17 PURCHASE GAINESVILLE GA,-93.53,32.89
6/18/2025,TRACTOR SUPPLY 06/18 PURCHASE GAINESVILLE GA,-1.75,31.14
6/18/2025,TRACTOR SUPPLY 06/18 PURCHASE GAINESVILLE GA,-6.83,24.31
6/20/2025,"Zelle payment from CARSON LUBBESS for Commerce""; Conf# 0JF6PVDW1""",200,224.31
6/20/2025,Transfer DAILY PAY,81.49,305.8
6/20/2025,BP#8136079CLIPPER 06/18 PURCHASE GAINESVILLE GA,-3.98,301.82
6/20/2025,BP#7698079ANDYS B 06/18 PURCHASE GAINESVILLE GA,-6.61,295.21
6/20/2025,SUNOCO XXXXX14300 06/19 PURCHASE GILLSVILLE GA,-8.15,287.06
6/20/2025,MEDLINK PHARMACY 06/19 PURCHASE COMMERCE GA,-40,247.06
6/20/2025,COMMERCE HAIR SAL 06/19 PURCHASE COMMERCE GA,-26,221.06
6/20/2025,WAL WAL-MART # 06/19 PURCHASE COMMERCE GA,-84.37,136.69
6/20/2025,DOLLAR GENERAL 06/19 PURCHASE GILLSVILLE GA,-12.62,124.07
6/20/2025,TRACTOR SUPPLY 06/20 PURCHASE GAINESVILLE GA,-1.75,122.32
